标题,播放量,评论数,收藏数,点赞数,弹幕数,视频时长,视频链接
【独家资料】北外学姐四六级听力绝招！30s搞定预读，手把手带你选对答案！,102070,312,7074,6308,1190,6:50,http://www.bilibili.com/video/av209332604
大学四六级的所有选手,267774,657,873,12502,333,2:6,http://www.bilibili.com/video/av919710783
大学英语四六级考试分数答疑,28597,39,84,312,5,3:33,http://www.bilibili.com/video/av329203478
已确定！12.16四六级常考词汇无非就这236个，7天就足够，像抄答案,273857,3674,17818,9637,129,10:0,http://www.bilibili.com/video/av621839930
「晓燕最新24年6月英语四六级全程班➕保命班」2024年刘晓燕大学英语四级英语六级网课 四六级写译精讲16,536,3,7,2,0,602:29,http://www.bilibili.com/video/av1353849729
大学英语四六级没过，不能大学#毕业？,471,0,0,3,0,0:52,http://www.bilibili.com/video/av431415960
太牛了！英语四六级考前急救！超全考场技巧码住！学会提分100+|四级|六级|裸考,571,0,13,6,7,4:37,http://www.bilibili.com/video/av322845150
英语六级速成救命课（听力速成·上）,9426,11,164,71,7,14:27,http://www.bilibili.com/video/av294063795
「大一英语四六级高分秘籍」我的四六级野路子分享！,56128,256,2964,1976,108,16:41,http://www.bilibili.com/video/av207534419
大学四级课程,953,0,15,8,0,60:4,http://www.bilibili.com/video/av563743143
23年四六级阅读-长篇阅读,350455,324,9947,12119,1676,20:8,http://www.bilibili.com/video/av655705227
【最全汇总！】历年大学英语四六级听力真题！附赠真题及答案！,10658,6,506,209,0,328:10,http://www.bilibili.com/video/av457432939
【独家资料】北外学姐四六级听力绝招！30s搞定预读，手把手带你选对答案！,102070,312,7074,6308,1190,6:50,http://www.bilibili.com/video/av209332604
大学英语四六级考试分数答疑,28597,39,84,312,5,3:33,http://www.bilibili.com/video/av329203478
大学四六级的所有选手,267774,657,873,12502,333,2:6,http://www.bilibili.com/video/av919710783
已确定！12.16四六级常考词汇无非就这236个，7天就足够，像抄答案,273857,3674,17818,9637,129,10:0,http://www.bilibili.com/video/av621839930
「晓燕最新24年6月英语四六级全程班➕保命班」2024年刘晓燕大学英语四级英语六级网课 四六级写译精讲16,536,3,7,2,0,602:29,http://www.bilibili.com/video/av1353849729
大学英语四六级没过，不能大学#毕业？,471,0,0,3,0,0:52,http://www.bilibili.com/video/av431415960
太牛了！英语四六级考前急救！超全考场技巧码住！学会提分100+|四级|六级|裸考,571,0,13,6,7,4:37,http://www.bilibili.com/video/av322845150
英语六级速成救命课（听力速成·上）,9426,11,164,71,7,14:27,http://www.bilibili.com/video/av294063795
「大一英语四六级高分秘籍」我的四六级野路子分享！,56128,256,2964,1976,108,16:41,http://www.bilibili.com/video/av207534419
大学四级课程,953,0,15,8,0,60:4,http://www.bilibili.com/video/av563743143
【喜羊羊版听力考试】2023年6月大学英语四级考试真题第一套 CET4 喜羊羊与灰太狼 四六级,15022,25,268,234,1,22:15,http://www.bilibili.com/video/av792347518
【四级考前抢分】十年四六级资深阅卷人带你搞定拿分套路，半小时彻底摆平你的四级写作难题，不看亏大了！,11386,30,335,261,37,213:14,http://www.bilibili.com/video/av896772732
大学英语四六级攻略！不看后悔！2周六级590分就这么来的！,690,2,49,44,1,4:38,http://www.bilibili.com/video/av475161031
大学英语四级做对多少题才能一次过级,10728,19,438,1376,0,1:8,http://www.bilibili.com/video/av358854117
大学英语六级全程通关班视频教学（强化巩固）,12825,5,474,51,8,1910:41,http://www.bilibili.com/video/av43050510
［免费分享］刘晓燕四六级全程班写作语法翻译听力攻略+24年6月四六级押题卷,4,0,0,0,0,20:32,http://www.bilibili.com/video/av1154360318
12月16英语四六级考试，高频词汇无非这236个，无痛听单词磨耳朵，背完就稳了,25936,291,3290,1513,112,29:11,http://www.bilibili.com/video/av876740490
【四级单词】四级大纲词不用全背？四级单词的秘密被我发现啦！【闪过英语 | 四六级 | 四级单词 | 学习干货 | 经验分享 | 大学 | 大学生活】,2098,4,43,26,0,1:40,http://www.bilibili.com/video/av210071267
大学英语四六级-全程陪伴-长难句,1440,1,55,20,2,292:43,http://www.bilibili.com/video/av75566258
大学英语四六级考前点拨,12504,7,386,56,31,150:44,http://www.bilibili.com/video/av11441161
1节课刷完大学英语四六级550个核心单词（绿色护眼版）,10639,20,724,319,9,44:6,http://www.bilibili.com/video/av884678905
【考前急救】北外学姐四六级听力高分秘籍！裸考必看|四六级听力,333093,823,18142,19206,7595,4:52,http://www.bilibili.com/video/av760900684
「晓燕最新24年6月英语四六级全程班➕保命班」2024年刘晓燕大学英语四级英语六级网课 四六级写译精讲23,102,3,0,1,0,601:59,http://www.bilibili.com/video/av1054226957
大学生考大学英语四级/六级还是考托福雅思？,2741,2,15,31,0,0:39,http://www.bilibili.com/video/av91734356
12月16号！大学英语四六级考试！13篇作文预测已出！,21345,209,1283,706,5,23:56,http://www.bilibili.com/video/av706946148
【四六级】2022英语四级系统课程 基础+提升+冲刺 26课时,1558,2,46,9,0,538:50,http://www.bilibili.com/video/av465527962
大学英语四六级考前急救,1967,4,34,38,1,7:17,http://www.bilibili.com/video/av473056261
「晓燕最新24年6月英语四六级全程班➕保命班」2024年刘晓燕大学英语四级英语六级网课 六级写译精讲5,1344,3,24,4,0,602:41,http://www.bilibili.com/video/av1102602715
【英语书法】英语四六级 | 英语作文 | 考研英语 | 钢笔字体 | 签字笔字体 | 练字,13617,15,642,344,3,37:45,http://www.bilibili.com/video/av290890760
【好物分享】宝藏级四六级资料推荐，想一次过级，这还不简单？【大学生 | 英语四六级 | 备考英语四级 | 四级真题书 | 四级真题】,90649,165,676,782,3,1:10,http://www.bilibili.com/video/av932748491
四六级是你的谎言,101964,204,510,7057,55,1:8,http://www.bilibili.com/video/av834773676
「石雷鹏最新24年6月英语四六级作文救命作文」橙拉2024年大学英语四级英语六级网课四六级救命作文8,95,4,1,1,0,602:44,http://www.bilibili.com/video/av1404499016
考前救大命！大学英语四六级写作万能高阶模板，百搭超好用！助力四六级写作“无脑默写”！用过的都知道！,3680,6,122,100,10,46:16,http://www.bilibili.com/video/av657279471
【合集】四六级听力 | 拯救万千听力小”聋“人的解题技巧和精听方法,6647,9,282,109,3,223:34,http://www.bilibili.com/video/av267678392
从0基础到四六级600+，英一80+，我的学习经历～,5806,66,379,432,1,2:13,http://www.bilibili.com/video/av1153731322
大学生英语四六级《不过如此》,32527,96,198,1447,42,1:22,http://www.bilibili.com/video/av764923929
麟老师大学四六级阅读技巧,3453,19,154,158,13,23:6,http://www.bilibili.com/video/av656963561
 四六级考试以后的几类人，据说只有参加过大学英语四六级考试的人才能听懂哦～,16659,20,257,48,38,1:7,http://www.bilibili.com/video/av5999106
【纯干货】大学英语四级救命级精讲—带你轻松过四级（合集）,11292,8,345,234,27,56:59,http://www.bilibili.com/video/av372446932
大学英语四六级听力阅读高频词汇,9213,16,612,146,3,249:11,http://www.bilibili.com/video/av754462356
【英语书法】英语四六级 | 英语作文 | 考研英语 | 钢笔字体 | 签字笔字体 | 练字,13617,15,642,344,3,37:45,http://www.bilibili.com/video/av290890760
【好物分享】宝藏级四六级资料推荐，想一次过级，这还不简单？【大学生 | 英语四六级 | 备考英语四级 | 四级真题书 | 四级真题】,90649,165,676,782,3,1:10,http://www.bilibili.com/video/av932748491
四六级是你的谎言,101964,204,510,7057,55,1:8,http://www.bilibili.com/video/av834773676
「石雷鹏最新24年6月英语四六级作文救命作文」橙拉2024年大学英语四级英语六级网课四六级救命作文8,95,4,1,1,0,602:44,http://www.bilibili.com/video/av1404499016
考前救大命！大学英语四六级写作万能高阶模板，百搭超好用！助力四六级写作“无脑默写”！用过的都知道！,3680,6,122,100,10,46:16,http://www.bilibili.com/video/av657279471
【合集】四六级听力 | 拯救万千听力小”聋“人的解题技巧和精听方法,6647,9,282,109,3,223:34,http://www.bilibili.com/video/av267678392
从0基础到四六级600+，英一80+，我的学习经历～,5806,66,379,432,1,2:13,http://www.bilibili.com/video/av1153731322
大学生英语四六级《不过如此》,32527,96,198,1447,42,1:22,http://www.bilibili.com/video/av764923929
麟老师大学四六级阅读技巧,3453,19,154,158,13,23:6,http://www.bilibili.com/video/av656963561
 四六级考试以后的几类人，据说只有参加过大学英语四六级考试的人才能听懂哦～,16659,20,257,48,38,1:7,http://www.bilibili.com/video/av5999106
【纯干货】大学英语四级救命级精讲—带你轻松过四级（合集）,11292,8,345,234,27,56:59,http://www.bilibili.com/video/av372446932
【大学英语六级】考试介绍和备考建议,5291,6,54,115,0,4:33,http://www.bilibili.com/video/av688853436
大学英语四六级听力阅读高频词汇,9213,16,612,146,3,249:11,http://www.bilibili.com/video/av754462356
学渣怎么学英语，从零基础专科生到专升本，四六级和考研都刚好通过，难道是运气太好？,47112,153,680,1033,63,5:55,http://www.bilibili.com/video/av940069097
2021年12月大学英语四六级笔试课程精讲词汇 语法 阅读 写作,678,0,26,14,0,791:34,http://www.bilibili.com/video/av890064404
大学英语四六级1个月600+，超详细干货分享！,12073,21,560,498,3,3:47,http://www.bilibili.com/video/av969884756
四级618六级590‼️人大学姐英语精读保姆级教程,725,5,16,26,0,3:15,http://www.bilibili.com/video/av297687596
教你一招如何在大学毕业以后再参加英语四六级考试,10103,0,71,55,1,0:37,http://www.bilibili.com/video/av301047249
大学英语四六级考试-写作 张超精讲班,976,4,59,11,3,205:55,http://www.bilibili.com/video/av500315530
【经验】英语四六级过线竟如此简单----来自一位六级540英语白银玩家一路摸爬滚打的经验分享,111916,4313,8685,8044,823,12:7,http://www.bilibili.com/video/av53918500
大学英语六级短语句子听写速度挑战-2022.7.22,193988,231,6136,22312,57,0:44,http://www.bilibili.com/video/av301195985
大学四六级考试笑话,93312,66,256,6104,7,1:38,http://www.bilibili.com/video/av835107099
2023上英语四级六级考试延考重启！最终预测卷大曝光 200%压中率 年年压年年中 3月12号大学英语四级六级考试押题卷 考场见一题秒一题的快乐你体验过吗？,196532,3662,7591,8369,181,2:27,http://www.bilibili.com/video/av440719432
【全网最全】2024年6月大学英语四六级考试I全套精讲课程I零基础必备,268,11,1,4,0,0:48,http://www.bilibili.com/video/av1101133547
【dy/卡西英语四六级】一带一路倡议,125,0,2,3,0,46:33,http://www.bilibili.com/video/av1902943635
💪备考四六级的小伙伴们，是不是感到压力山大？别担心，学姐来拯救你们的备考之路啦！🚀,1045,1,1,2,0,1:16,http://www.bilibili.com/video/av1404410763
【英语四六级】给同学们的四六级开挂指南,19882,80,252,659,11,2:51,http://www.bilibili.com/video/av329589800
大学英语四级考试指导,1163,1,32,32,2,9:43,http://www.bilibili.com/video/av894765586
1小时刷完大学英语四级CET4单词精简版（绿色护眼乱序）,43145,123,2826,1233,43,60:22,http://www.bilibili.com/video/av498899686
大学英语四级资料分享,17252,804,691,946,23,0:24,http://www.bilibili.com/video/av511988201
【CET-6】最新大学英语六级听力 | 双语字幕 | 带选项,11726,54,531,276,9,465:2,http://www.bilibili.com/video/av969495846
大学英语四六级（考前突击）,648,0,22,4,3,183:9,http://www.bilibili.com/video/av43238577
45分钟刷2遍大学英语CET6星标单词(绿色护眼顺序版）,26940,84,2132,830,17,45:52,http://www.bilibili.com/video/av926319537
大学英语四六级-选词填空抢分班,1590,3,41,20,8,95:28,http://www.bilibili.com/video/av74956612
2023上英语四六级考试延考重启！最终押题卷大曝光 200%压中率 年年压年年中 3月11大学英语四级六级考试押题卷 考场见一题秒一题的快乐你感受过吗？,73770,1948,3313,3445,151,3:18,http://www.bilibili.com/video/av568248851
全篇干货|手把手教你过英语四级六级|分享四六级上600的经验,706,2,20,15,0,14:13,http://www.bilibili.com/video/av78288250
四六级30篇外刊阅读-第一篇 健康生活 （词汇课拓展阅读）,170170,134,1453,4587,843,34:43,http://www.bilibili.com/video/av539178911
《论当代大学生如何备战四六级考试》,191899,836,592,7957,794,2:12,http://www.bilibili.com/video/av719990668
大型纪录片《英语四六级》大学生最害怕的一集,97393,420,365,5143,169,1:8,http://www.bilibili.com/video/av957710570
大学英语六级短语句子听写速度挑战-2022.7.17,57715,57,1841,6355,17,0:42,http://www.bilibili.com/video/av258537857
【全套课程】&lt;新概念英语第三册&gt;进阶英语 高中 大学英语 词汇量积累 英语四六级考试必备,1859,15,70,7,1,346:18,http://www.bilibili.com/video/av648702291
【推荐】大学英语四六级词汇全程班课程，适合零基础快速考过四六级课程！,4199,2,142,33,3,572:36,http://www.bilibili.com/video/av755365695
【CET-6】最新大学英语六级听力 | 双语字幕 | 带选项,11726,54,531,276,9,465:2,http://www.bilibili.com/video/av969495846
大学英语四六级（考前突击）,648,0,22,4,3,183:9,http://www.bilibili.com/video/av43238577
45分钟刷2遍大学英语CET6星标单词(绿色护眼顺序版）,26940,84,2132,830,17,45:52,http://www.bilibili.com/video/av926319537
2023上英语四六级考试延考重启！最终押题卷大曝光 200%压中率 年年压年年中 3月11大学英语四级六级考试押题卷 考场见一题秒一题的快乐你感受过吗？,73770,1948,3313,3445,151,3:18,http://www.bilibili.com/video/av568248851
大学英语四六级-选词填空抢分班,1590,3,41,20,8,95:28,http://www.bilibili.com/video/av74956612
全篇干货|手把手教你过英语四级六级|分享四六级上600的经验,706,2,20,15,0,14:13,http://www.bilibili.com/video/av78288250
四六级30篇外刊阅读-第一篇 健康生活 （词汇课拓展阅读）,170170,134,1453,4587,843,34:43,http://www.bilibili.com/video/av539178911
《论当代大学生如何备战四六级考试》,191899,836,592,7957,794,2:12,http://www.bilibili.com/video/av719990668
大型纪录片《英语四六级》大学生最害怕的一集,97393,420,365,5143,169,1:8,http://www.bilibili.com/video/av957710570
大学英语六级短语句子听写速度挑战-2022.7.17,57715,57,1841,6355,17,0:42,http://www.bilibili.com/video/av258537857
【全套课程】&lt;新概念英语第三册&gt;进阶英语 高中 大学英语 词汇量积累 英语四六级考试必备,1859,15,70,7,1,346:18,http://www.bilibili.com/video/av648702291
【推荐】大学英语四六级词汇全程班课程，适合零基础快速考过四六级课程！,4199,2,142,33,3,572:36,http://www.bilibili.com/video/av755365695
英语四级全国现况《毕业了你还没有过四级？》,19109,64,32,274,24,7:10,http://www.bilibili.com/video/av897138847
【英语四六级精讲课】阅读生万物,2445,4,20,49,27,127:57,http://www.bilibili.com/video/av1953171555
轻松拿下四六级！| 650+学长，8年英语老师的独门带学体系,349807,523,2782,3542,8,9:2,http://www.bilibili.com/video/av1550969062
【四六级】抢分攻略！一次过过过！英语四六级考试攻略！,11900,129,506,1093,126,7:26,http://www.bilibili.com/video/av330400974
六级,623,0,10,6,0,6:1,http://www.bilibili.com/video/av670802760
考前救大命！大学英语四六级写作“应用文”万能高阶模板，百搭超好用！助力四六级写作“无脑默写”！,2823,7,56,57,0,13:3,http://www.bilibili.com/video/av357347166
【2023英语六级CET6】最新大学大学英语六级听力 | 双语字幕 | 带选项,42590,234,1544,756,28,710:36,http://www.bilibili.com/video/av287905356
搞定大学英语四级（五）仔细阅读 真题卷一讲解,308,0,8,3,3,105:53,http://www.bilibili.com/video/av934322253
如何一次性通过 大学英语四六级,166,0,1,1,0,4:31,http://www.bilibili.com/video/av662678343
【持续更新】历年大学英语四六级听力真题！最全汇总！附赠真题及答案！,34274,98,1527,510,27,328:10,http://www.bilibili.com/video/av842026372
大学英语四六级-写作与翻译保命技巧,4595,7,159,59,7,122:43,http://www.bilibili.com/video/av74307066
gay是四六级和考研核心词汇#考研  #大学 #考研英语#英语 #英语单词,64591,44,305,4165,25,1:5,http://www.bilibili.com/video/av701378725
【四六级】大学英语四六级零基础备考单词怎么背|刘晓燕四六级|刘晓艳四级|刘晓艳四六级|英语|考试|学习|四级|六级|,783,3,8,5,0,17:23,http://www.bilibili.com/video/av1603841430
12月16号！大学英语四六级考试！12篇翻译预测已出！,1035,9,63,17,23,18:31,http://www.bilibili.com/video/av324000349
大学英语四级考试必过秘籍（听力篇）,7519,0,300,344,208,95:28,http://www.bilibili.com/video/av341398463
套就行了，四六级作文模板,158470,113,4280,3447,230,9:16,http://www.bilibili.com/video/av796889672
大学英语六级考试满分是多少？到底考多少分算是高分？,3211,0,2,19,1,2:58,http://www.bilibili.com/video/av717091070
（全是干货）最全大学英语四六级单词词汇4000词（标准发音）,259,1,8,7,0,177:1,http://www.bilibili.com/video/av742229697
【四六级避坑】这件事让我英语四级连挂3次丨题型/时间安排参考/做题顺序/注意事项,108836,245,2789,3432,349,4:57,http://www.bilibili.com/video/av456792236
大学英语四六级考试大纲 简介 看了就过系列,1689,3,23,26,0,7:48,http://www.bilibili.com/video/av92707097
大学英语手把手带你四六级备考|英文外刊读起来！！,1522,8,62,103,1,2:10,http://www.bilibili.com/video/av609476348
这是你不愿意复习四六级的原因吗,48417,40,160,3143,108,0:38,http://www.bilibili.com/video/av877322074
开学大一！如何一次性就能稳过四级？！四级备考丨准大一丨大学丨四六级丨英语四级丨大一新生丨开学丨暑假,275030,705,43740,22882,24,0:13,http://www.bilibili.com/video/av770530691
【英语干货 | 三天速成】2024大学英语四六级高效复习法（词汇/语法/听力/阅读/翻译/作文），大学四级，大学六级,1344,7,37,30,12,49:57,http://www.bilibili.com/video/av1553528605
大学英语四六级,1942,1,52,12,0,161:10,http://www.bilibili.com/video/av24842035
四六级听力同义词替换高频100组,6584,8,716,332,0,0:21,http://www.bilibili.com/video/av817634116
大学英语cet六级必备基础词汇+真题解析,1347,5,81,29,6,1238:52,http://www.bilibili.com/video/av715524585
无偿免费分享，24年英语四六级资料，四六级网课，往年真题，核心词汇,117,1,0,2,0,0:17,http://www.bilibili.com/video/av112397708493824
【唐顿庄园第一季】第一集（02）｜看英剧学英语｜高清中英双字｜大学英语四六级｜专四专八 ｜词汇讲解,10385,3,74,209,3,9:43,http://www.bilibili.com/video/av765000688
大学英语四六级过级冷知识,1896,9,40,99,0,0:59,http://www.bilibili.com/video/av489557403
【四六级避坑】这件事让我英语四级连挂3次丨题型/时间安排参考/做题顺序/注意事项,108836,245,2789,3432,349,4:57,http://www.bilibili.com/video/av456792236
大学英语四六级考试大纲 简介 看了就过系列,1689,3,23,26,0,7:48,http://www.bilibili.com/video/av92707097
大学英语手把手带你四六级备考|英文外刊读起来！！,1522,8,62,103,1,2:10,http://www.bilibili.com/video/av609476348
这是你不愿意复习四六级的原因吗,48417,40,160,3143,108,0:38,http://www.bilibili.com/video/av877322074
开学大一！如何一次性就能稳过四级？！四级备考丨准大一丨大学丨四六级丨英语四级丨大一新生丨开学丨暑假,275030,705,43740,22882,24,0:13,http://www.bilibili.com/video/av770530691
【英语干货 | 三天速成】2024大学英语四六级高效复习法（词汇/语法/听力/阅读/翻译/作文），大学四级，大学六级,1344,7,37,30,12,49:57,http://www.bilibili.com/video/av1553528605
大学英语四六级,1942,1,52,12,0,161:10,http://www.bilibili.com/video/av24842035
四六级听力同义词替换高频100组,6584,8,716,332,0,0:21,http://www.bilibili.com/video/av817634116
大学英语cet六级必备基础词汇+真题解析,1347,5,81,29,6,1238:52,http://www.bilibili.com/video/av715524585
无偿免费分享，24年英语四六级资料，四六级网课，往年真题，核心词汇,117,1,0,2,0,0:17,http://www.bilibili.com/video/av112397708493824
【唐顿庄园第一季】第一集（02）｜看英剧学英语｜高清中英双字｜大学英语四六级｜专四专八 ｜词汇讲解,10385,3,74,209,3,9:43,http://www.bilibili.com/video/av765000688
大学英语四六级过级冷知识,1896,9,40,99,0,0:59,http://www.bilibili.com/video/av489557403
学习Vlog｜大学英语四六级：阅读高分技巧！节省时间,86753,109,1725,3944,53,1:44,http://www.bilibili.com/video/av209073766
2024最新大雁英语四六级 领取cet4cet6考试视频资料,51568,5576,4447,5964,222,0:37,http://www.bilibili.com/video/av274928324
3月12英语四六级考试难度大减！内部押题卷大曝光 200%原题直出 年年压年年中 3月12大学英语四级六级考试押题卷 考场见一题秒一题的快乐你体验过吗？,46410,1839,1448,1536,126,1:1,http://www.bilibili.com/video/av653129927
经济学人新闻杂志，英语四六级和考研出题的源头！,20248,38,2197,782,1,310:19,http://www.bilibili.com/video/av719109984
2023年6.17号大学英语四六级！作文万能句模板！背会随便过！,15092,153,411,271,105,1:6,http://www.bilibili.com/video/av656573612
搞定大学英语四级（六）选词填空解题技巧讲解,555,0,15,12,3,100:49,http://www.bilibili.com/video/av464294727
麟0大学英语四六级翻译。《公交车》,104,0,3,2,0,35:12,http://www.bilibili.com/video/av918749802
大学英语四级到底在考什么？没考过四级的人一定要看完！四六级 | 大学 | 大学生 | 英语 | 大一新生 | 裸考 | 四级备考 | 科普,1669,0,25,25,0,0:55,http://www.bilibili.com/video/av389199715
「大雁24年四六级全程班➕保命班「」2024年刘晓燕大学英语四级英语六级网课 向往的词汇，精讲17,2557,3,20,8,0,603:19,http://www.bilibili.com/video/av1450126576
大学英语四六级又来了！给大家的备考建议，这次一定过！,1608,6,24,79,0,1:17,http://www.bilibili.com/video/av487243614
1629.迈克带你学英语-大学英语四六级-2016年12月英语六级阅读理解,215,0,2,0,0,42:46,http://www.bilibili.com/video/av367623683
「晓燕最新24年6月英语四六级全程班➕保命班」2024年刘晓燕大学英语四级英语六级网课 四六级写译精讲24,442,3,3,2,0,602:7,http://www.bilibili.com/video/av1903893336
新生必看！大学英语四级考前9条避坑须知！,11375,12,425,270,42,16:39,http://www.bilibili.com/video/av469810809
2016启航大学英语四六级-翻译,1756,1,48,10,7,294:7,http://www.bilibili.com/video/av46511017
［无偿分享］24年6月刘晓燕四六级备考网课资源（视频下方简介获取）,1,0,0,0,0,20:44,http://www.bilibili.com/video/av1954410718
2022年12月大学英语六级作文模版（图片/引言类）带背！,20284,35,498,442,6,13:16,http://www.bilibili.com/video/av690422394
"大学英语四六级口试已取消,笔试会被取消吗？",9542,75,45,198,17,4:6,http://www.bilibili.com/video/av455313581
这是不是四六级考试的你：当代大学生英语四六级考试现状,22651,6,25,347,8,2:38,http://www.bilibili.com/video/av422553756
大学英语四级考试解题技巧和备考资料,413,0,14,13,0,9:2,http://www.bilibili.com/video/av807287668
大学英语四六级考前两周，四六级听力速成技巧！但凡有一个人没有听到我都会难过的好吗！,1504,5,22,42,0,0:46,http://www.bilibili.com/video/av279348076
专科生一次性通过英语四六级之——四级,378,3,13,9,0,2:28,http://www.bilibili.com/video/av229078294
天天都说要考四六级，我觉得不过四六级也没啥！【英语四级 | 英语六级 | 四六级重要性 | 四六级备考 | 考研英语 | 大学生就业】,8455,12,22,53,4,1:8,http://www.bilibili.com/video/av293259310
我服了 ！原来英语四级366到528，3天足够了,51850,1423,2218,1884,121,3:36,http://www.bilibili.com/video/av399800264
【最全】考虫四六级网课｜考虫四六级系统班｜大学英语四六级,424,3,8,17,0,0:15,http://www.bilibili.com/video/av749073493
「晓燕最新24年6月英语四六级全程班➕保命班」2024年刘晓燕大学英语四级英语六级网课 四六级写译精讲15,2667,4,21,7,0,601:53,http://www.bilibili.com/video/av1403279684
搞定大学英语四级（四）仔细阅读解题技巧讲解（二）,676,0,10,3,3,113:11,http://www.bilibili.com/video/av721698916
大学英语四六级-长篇阅读抢分班,2087,1,32,14,3,107:55,http://www.bilibili.com/video/av74984037
大学英语四级备考 | 刘晓燕英语四级全程班-晓燕四六级救命班保命班-词汇+听力+阅读+写作,2256,0,12,5,0,62:52,http://www.bilibili.com/video/av911374925
大学英语六级恋练有词词汇课程（1）,9649,25,83,33,3,46:34,http://www.bilibili.com/video/av668700281
【毕业季】大学英语四六级证书原件弄丢了怎么办。。。,27632,84,245,212,0,1:32,http://www.bilibili.com/video/av795927749
